Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Srinagar (J and K) to Jammu Bus,https://www.redbus.in/bus-tickets/srinagar-to-jammu,Jamna Travels-Jammu,Non AC Seater (2+2),19:00,11h 45m,06:45,2.7,649.0,30.0
Srinagar (J and K) to Jammu Bus,https://www.redbus.in/bus-tickets/srinagar-to-jammu,New Pal Travels,NON A/C Seater / Sleeper (2+2),19:00,10h 00m,05:00,1.7,817.0,41.0
Delhi to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 30m,17:05,4.8,817.0,28.0
Delhi to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/delhi-to-srinagar,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,5.0,817.0,29.0
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,2.1,649.0,32.0
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,Jamna Travels-Jammu,Non AC Seater (2+2),21:30,10h 30m,08:00,1.3,699.0,30.0
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,10h 00m,03:15,2.3,699.0,40.0
Jammu to Srinagar (J and K) Bus,https://www.redbus.in/bus-tickets/jammu-to-srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,10h 00m,02:30,1.0,817.0,40.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,JKRTC - 169884,A/C Seater Executive (2+1),12:00,01h 00m,13:00,2.0,166.0,32.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:10,02h 05m,17:15,5.0,700.0,46.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:20,01h 40m,18:00,5.0,500.0,34.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:00,01h 25m,18:25,5.0,88.39,37.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,3.0,280.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Royal Golden,A/C Seater / Sleeper (2+2),13:00,01h 00m,14:00,2.0,123.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Royal Golden,A/C Seater / Sleeper (2+2),23:00,01h 00m,00:00,2.0,193.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,A/C Sleeper (2+1),19:50,01h 30m,21:20,5.0,531.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,New Pal Travels,A/C Sleeper (2+2),23:00,01h 30m,00:30,3.6,1099.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,5.0,88.39,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.5,549.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),A/C Sleeper (2+2),20:00,01h 00m,21:00,3.6,1250.0,30.0
Katra (jammu and kashmir) to Jammu Bus,https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,Bharat Benz A/C Sleeper (2+1),21:00,01h 25m,22:25,5.0,1800.0,30.0
