Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.5,1299.0,11.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.0,1699.0,16.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.2,1699.0,12.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdCHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:45,10h 15m,06:00,3.8,1699.0,9.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,4.1,1440.0,16.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.0,1299.0,32.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Sleeper (2+1),23:00,08h 30m,07:30,4.0,1499.0,16.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.8,1300.0,14.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SAAM BUS,VE A/C Sleeper (2+1),21:45,09h 00m,06:45,4.1,1499.0,12.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,A/C Sleeper (2+1),21:45,09h 15m,07:00,3.9,1500.0,9.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,A/C Sleeper (2+1),22:45,08h 15m,07:00,4.1,1030.0,16.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.2,1400.0,12.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,4.0,1300.0,18.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.0,900.0,2.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,09h 00m,07:05,3.5,626.0,13.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,NON A/C Sleeper (2+1),22:30,07h 45m,06:15,3.4,626.0,12.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Sam Tourist,Volvo A/C Seater (2+2),22:30,09h 00m,07:30,3.4,626.0,30.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.3,626.0,14.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,3.8,626.0,2.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.5,626.0,12.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.4,626.0,17.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,2.6,626.0,28.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 45m,06:45,2.6,626.0,3.0
Bangalore to Kozhikode Bus,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Usha Transport,NON A/C Sleeper (2+1),23:00,09h 49m,08:49,1.7,626.0,27.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,12:00,08h 20m,20:20,4.0,627.0,32.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:30,08h 35m,22:05,3.7,432.0,23.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,09h 15m,03:15,3.8,513.0,31.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,09h 15m,04:20,3.6,688.0,15.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 1583,Super Express Non AC Seater Air Bus (2+2),20:00,09h 15m,05:15,3.4,640.0,28.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,09h 40m,06:40,4.1,620.0,49.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),21:30,09h 05m,06:35,3.5,640.0,46.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 2932,Super Fast Non AC Seater (2+3),21:31,09h 05m,06:36,1.7,466.0,29.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 2921,Super Fast Non AC Seater (2+3),21:51,09h 15m,07:06,5.0,466.0,20.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,09h 10m,07:10,3.6,640.0,42.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),22:15,07h 58m,06:13,1.7,640.0,36.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 2920,Super Fast Non AC Seater (2+3),22:16,09h 20m,07:36,2.0,466.0,21.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,KSRTC (Kerala) - 2974,Super Express Non AC Seater Air Bus (2+2),23:15,09h 00m,08:15,3.4,832.0,19.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.5,750.0,23.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,4.3,999.0,18.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4.1,799.0,21.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,09h 30m,21:45,4.2,900.0,27.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,4.3,849.0,12.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SKS Tours & Travels,A/C Sleeper (2+1),21:00,09h 00m,06:00,4.4,799.0,20.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,4.0,800.0,28.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,4.1,999.0,21.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,PSK Travels,Bharat Benz A/C Sleeper (2+1),14:30,08h 50m,23:20,4.0,899.0,22.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,3.8,1000.0,19.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,06:30,3.7,799.0,21.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,3.2,600.0,41.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Suraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,07:15,3.6,700.0,22.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,National travels and logistics,A/C Sleeper (2+1),21:00,09h 15m,06:15,3.7,650.0,7.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,VE A/C Sleeper (2+1),21:16,09h 14m,06:30,3.9,600.0,23.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,A/C Seater / Sleeper (2+1),21:45,09h 00m,06:45,3.5,790.0,19.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,07:15,3.3,2200.0,28.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,09h 00m,04:30,3.9,626.0,39.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,09h 00m,06:30,3.4,626.0,34.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),13:45,09h 25m,23:10,2.4,626.0,22.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DA Transports,A/C Sleeper (2+1),22:01,09h 44m,07:45,2.6,626.0,25.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,08h 45m,06:30,2.9,626.0,25.0
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.3,626.0,25.0
