Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,NBSTC-SLG-RAI-KOL-RKT-18:00 - 176650,Non AC Seater (2+2),18:00,12h 00m,06:00,4.5,486.0,12.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,NBSTC-SLG-KOL-R1-18:30 - 156410,NON A/C Seater Push Back (2+2),18:30,12h 00m,06:30,3.9,486.0,11.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,NBSTC-SLG-KOL-AC-18:45 - 176648,AC Seater (2+2),19:00,12h 00m,07:00,4.8,800.0,30.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),20:00,12h 20m,08:20,4.4,1200.0,27.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),21:00,12h 00m,09:00,4.3,1199.0,44.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:45,12h 00m,06:45,4.1,1500.0,40.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),18:30,12h 50m,07:20,4.4,1500.0,20.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,12h 55m,09:25,4.9,1500.0,18.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,12h 30m,07:45,4.5,1499.0,16.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,13h 00m,07:30,4.4,1500.0,11.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 40m,07:10,4.4,1530.0,15.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 55m,07:25,4.6,1450.0,8.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,12h 05m,06:05,4.4,1599.0,7.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Modern Travels,Bharat Benz A/C Sleeper (2+1),19:30,12h 15m,07:45,4.5,1200.0,6.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,12h 30m,07:30,4.3,600.0,20.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Aitiana Airwings,Volvo Multi-Axle Sleeper A/C (2+1),18:30,13h 00m,07:30,4.5,850.0,16.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Poulami Paribahan,Volvo Multi-Axle A/C seater/sleeper (2+1),19:15,12h 15m,07:30,4.2,710.0,29.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Maa Durga Bus Service,NON AC Seater / Sleeper 2+1,18:30,13h 30m,08:00,4.8,765.0,12.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Modern Travels,Bharat Benz A/C Seater /Sleeper (2+1),18:45,12h 50m,07:35,3.5,500.0,26.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Prarthana Bus Service,A/C Seater / Sleeper (2+1),19:30,13h 00m,08:30,3.5,2000.0,27.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,A/C Seater / Sleeper (2+1),18:15,12h 30m,06:45,3.9,700.0,24.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Annesha Travels,NON A/C Seater / Sleeper (2+2),18:00,13h 00m,07:00,2.4,798.0,12.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath (Maa Tara),NON A/C Seater / Sleeper (2+2),15:15,14h 30m,05:45,2.8,798.0,10.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Renuka Travels,A/C Seater / Sleeper (2+2),19:30,13h 00m,08:30,1.0,798.0,65.0
Siliguri to Kolkata Bus,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),14:30,16h 00m,06:30,2.6,798.0,33.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Coochbehar (E2) 3:00 pm - 171781,Non AC Seater (2+3),15:00,13h 20m,04:20,3.8,450.0,38.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-COB-R1-17:00 - 156429,Non AC Seater 2+2,17:00,12h 00m,05:00,3.5,486.0,16.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-SLG-R1-18:00 - 156411,NON A/C Seater Push Back (2+2),18:00,12h 00m,06:00,3.9,486.0,17.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-RAI-SLG-RKT-18:30 - 176651,Non AC Seater (2+2),18:30,12h 00m,06:30,4.5,486.0,11.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-RAI-SLG-19:30 - 176649,AC Seater (2+2),19:30,12h 00m,07:30,3.5,800.0,30.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,SBSTC-KOLKATA - SILIGURI - VOLVO - 20:05 (BEL DEPT) - 3925,Volvo AC Seater (2+2),20:05,13h 00m,09:05,4.0,1210.0,51.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,12h 45m,07:30,4.6,1499.0,25.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:50,12h 55m,08:45,4.8,1500.0,24.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,AdLokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:15,12h 15m,06:30,4.3,1199.0,46.0
Kolkata to Siliguri Bus,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,12h 55m,09:25,4.7,1500.0,30.0
