Route Name,Route Link,Bus Name,Bus Type,Departure Time,Duration,Arrival Time,Star Rating,Price,Seats Available
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67160,Volvo AC Seater (2+2),11:46,05h 29m,17:15,4.4,711.0,35.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:01,04h 59m,19:00,4.2,711.0,36.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:25,05h 00m,20:25,4.0,711.0,37.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:00,05h 30m,21:30,2.5,454.0,50.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:31,04h 59m,22:30,4.2,711.0,32.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:31,05h 29m,04:00,3.1,454.0,32.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.0,3850.0,32.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),16:30,07h 00m,23:30,3.6,3300.0,32.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,07h 00m,06:30,3.6,3300.0,32.0
Delhi to Patiala Bus,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,3.6,3300.0,32.0
Patiala to Delhi Bus,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,06h 09m,18:49,4.3,711.0,37.0
